"Time","judi online","slot gacor","togel online","judi slot","situs judi","slot88","Pragmatic play","gacor hari ini"
"2024-12-29",0,35,0,2,1,1,0,7
"2025-01-05",1,30,0,4,3,1,0,1
"2025-01-12",1,26,1,3,1,1,0,3
"2025-01-19",0,32,0,4,2,1,0,1
"2025-01-26",2,40,0,10,6,3,0,0
"2025-02-02",3,53,0,13,8,2,0,4
"2025-02-09",3,55,0,9,5,0,0,6
"2025-02-16",2,45,0,7,3,0,0,14
"2025-02-23",1,37,1,2,1,0,0,6
"2025-03-02",1,49,0,2,2,1,0,1
"2025-03-09",1,48,0,3,2,1,0,1
"2025-03-16",0,62,0,2,1,0,0,1
"2025-03-23",0,63,0,3,1,1,0,5
"2025-03-30",1,83,0,4,2,1,0,1
"2025-04-06",0,65,0,2,1,0,0,0
"2025-04-13",1,74,0,3,3,1,0,1
"2025-04-20",4,76,0,7,4,1,0,2
"2025-04-27",5,66,0,8,6,1,0,3
"2025-05-04",3,52,0,6,5,1,0,1
"2025-05-11",0,66,0,1,1,1,0,1
"2025-05-18",2,72,1,4,1,3,0,1
"2025-05-25",2,82,2,6,3,1,0,2
"2025-06-01",1,78,2,3,2,0,0,1
"2025-06-08",1,86,1,5,2,1,0,0
"2025-06-15",2,96,0,5,3,0,0,0
"2025-06-22",3,82,6,7,5,1,0,1
"2025-06-29",2,100,4,5,3,1,0,1
"2025-07-06",3,88,4,8,5,1,0,1
"2025-07-13",2,63,1,5,3,1,0,0
"2025-07-20",1,57,2,6,3,1,0,0
"2025-07-27",2,50,1,5,2,1,0,0
"2025-08-03",1,44,1,4,2,1,0,2
"2025-08-10",2,64,2,7,3,1,0,1
"2025-08-17",2,46,2,8,4,1,0,1
"2025-08-24",1,39,1,2,1,0,0,1
"2025-08-31",1,29,0,2,1,1,0,0
"2025-09-07",1,39,1,2,1,1,0,1
"2025-09-14",1,29,1,2,1,0,0,1
"2025-09-21",0,6,0,1,1,0,0,0
"2025-09-28",0,7,0,1,1,0,0,0
"2025-10-05",0,2,0,1,0,0,0,0
"2025-10-12",0,3,0,1,0,0,0,0
"2025-10-19",0,4,0,1,0,0,0,0
"2025-10-26",0,5,0,0,0,0,0,0
"2025-11-02",0,4,0,0,0,0,0,0
"2025-11-09",0,3,0,0,0,0,0,0
"2025-11-16",0,2,0,0,0,0,0,0
"2025-11-23",0,3,0,1,0,0,0,0
"2025-11-30",0,2,0,0,0,0,0,0
"2025-12-07",0,2,0,0,0,0,0,0
"2025-12-14",0,2,0,0,0,0,0,0
"2025-12-21",0,4,0,0,0,0,0,0
"2025-12-28",0,2,0,0,0,0,0,0
