keyword,mean,median,std,max,non_zero_count,recommended_for_model
slot_gacor,8.479452054794521,1.0,20.548796659172783,100,46,True
judi_slot,0.8767123287671232,0.0,1.699225358471815,8,26,True
slot88,0.2465753424657534,0.0,0.4340001893819421,1,18,True
judi_online,0.3150684931506849,0.0,0.6640932064930328,3,16,True
situs_judi,0.3835616438356164,0.0,0.9807896051750765,4,11,True
gacor_hari_ini,0.2191780821917808,0.0,0.975342893301088,8,9,True
togel_online,0.1095890410958904,0.0,0.48767144665054407,3,4,False
pragmatic_play,0.0136986301369863,0.0,0.11704114719613055,1,1,False
